"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"26","223.01605301599128","132.46760862218142","4.854114083623256","-0.30976922795032275","0.024169921875","0.00732421875","0.041015625","1300","0.0001519221973638864","0","0.0001519221973638864","0.0001519221973638864","26_25:0.010063338764265906","26_25:660","true"
"27","405.04268539151155","248.64124283066815","4.747643956466431","-0.31027519414312993","0.039306640625","0.02587890625","0.052734375","1300","0.00011349530647508206","0","0.00011349530647508206","0.00011349530647508206","27_26:0.00478136740972257","27_26:660","true"
"28","210.9497433978376","94.28265571986506","4.994398629630188","-0.3073714140177614","0.047607421875","0.0126953125","0.08251953125","1300","0.00025115649818626605","0","0.00025115649818626605","0.00025115649818626605","28_27:0.006203924143277861;28_29:0.02168570987596602;28_35:0.008033611907330152","28_27:660;28_29:660;28_35:660","true"
"29","410.75309908902375","258.2527588567491","4.628643106119213","-0.3122408870668324","0.03125","0.02978515625","0.03271484375","1300","0.0008914230643361879","0","0.0008914230643361879","0.0008914230643361879","","","true"
"30","242.84888288784956","63.42300052125192","4.732964914107761","-0.31090012417705765","0.010009765625","0.01025390625","0.009765625","1300","0.000289584531471621","0","0.000289584531471621","0.000289584531471621","30_29:0.01901087293316328;30_31:0.007553187074681389","30_29:660;30_31:660","true"
"31","182.76084654005464","53.305382194941046","4.7976606436752745","-0.31025628620305007","0.00732421875","0.00439453125","0.01025390625","1300","0.00013011190898235087","0","0.00013011190898235087","0.00013011190898235087","31_32:0.01007046232192571","31_32:660","true"
"32","240.1878283117658","337.6895691219465","4.910382023100295","-0.3078794303810588","0.009521484375","0.01318359375","0.005859375","1300","0.00045391310184188634","0","0.00045391310184188634","0.00045391310184188634","32_36:0.009730943897106104","32_36:660","true"
"33","303.0489100818612","136.88878790247642","4.973181211858496","-0.3075486854907048","0.0146484375","0.009765625","0.01953125","1300","0.00015213755562243475","0","0.00015213755562243475","0.00015213755562243475","33_39:0.005621647696956333","33_39:660","true"
"34","128.27031190604356","86.64176007091034","4.678642784699527","-0.3124338462946453","0.04052734375","0.029296875","0.0517578125","1300","0.00030349174029310565","0","0.00030349174029310565","0.00030349174029310565","34_43:0.006958300227583203","34_43:660","true"
"35","325.0063509230912","144.17901894463597","4.907601762291234","-0.308301773576246","0.021240234375","0.0107421875","0.03173828125","1300","0.0002221509578539136","0","0.0002221509578539136","0.0002221509578539136","35_47:0.00674567615883348","35_47:660","true"
"36","186.95520019036675","363.8315060130121","4.81230561379918","-0.31175120998201256","0.01171875","0.005859375","0.017578125","1300","0.000121482709876008","0","0.000121482709876008","0.000121482709876008","36_51:0.011480870617706085","36_51:660","true"
